Type	Question	Concepts	TRAPI	ARA/KP	Comments	Predicate	TRAPI-compatible	Not compatible BUT is something Translator should be able to answer	Not quite compatible but close	Biolink compatible	Very incompatible
summary	What are sirtuins?										
summary	What is ChIPpeakAnno?										
summary	Describe ATR-16 syndrome.										
summary	What is the mechanism of action of Romosozumab?										
summary	What is the function of the Mis18 protein?										
summary	What is PANTHER-PSEP?										
summary	What is MPE-seq?										
summary	Describe the mechanism of action of Bezlotoxumab?										
summary	What is the biological function of the SRY circular RNA (circRNA)?										
summary	What is Uhl's anomaly?										
summary	Can aspirin be used in cancer prevention?										
summary	What is the link between TB (Turbeculosis) infection and TNFa inhibition?										
summary	What happens upon disruption of a TAD boundary?										
summary	What is the CEGA catalog?										
summary	What is magnetoreception?										
summary	What is the role of the Ctf4-interacting-peptide or CIP-box?										
summary	What is the function of mTOR?										
summary	Describe the applicability of Basset in the context of deep learning										
summary	What is the role of the MCM2-7 complex?										
summary	Describe the usefulness of CAMUR in The Cancer Genome Atlas (TCGA)										
summary	What is the function of lncRNA?										
summary	What is the function of the exosome?										
summary	What is metaSPAdes?										
summary	What is the function of the dormancy survival regulator (DosR) in Mycobacterium tuberculosis?										
summary	Which are the effects of ALDH2 deficiency?										
summary	What is the role of the positive effector of transcription (pet) in the hepatitis B virus?										
summary	What is the role of Kmt5a in liver?										
summary	What is the difference between ganglion mother cells (GMC) and intermediate neural precursor cells (INP) in Drosophila?										
summary	What is the FIRE (Functional Inference of Regulators of Expression) tool?										
summary	Describe mechanism of action of Napabucasin.										
summary	Which are the properties of mammalian GA-sequences?										
summary	What is the main focus of the CVE R/Bioconductor package?										
summary	What is the origin of XUT transcripts in yeast?										
summary	What is oclacitinib?										
summary	Which yeast nucleosomes are preferentially marked by H2A.Z?										
summary	How are topologically associating domains (TAD) associated with replication timing?										
summary	How are cryptic unstable transcripts (CUTs) defined?										
summary	What is mechanism of action of galunisertib?										
summary	What is the relationship of fyn kinase and tau?										
summary	Which is the transcriptome of RNA polymerase III?										
summary	What is the purpose of the FRAX scale?										
summary	Has Cas9 gene editing the potential to correct inhereted hearing loss?										
summary	How may CTCF mediate splicing?										
summary	What is the function of the TFIIS transcriptional factor (Dst1) in yeast?										
summary	What is the genetic basis of the Delayed Sleep-Phase Syndrome (DSPS)?										
summary	What are jakinibs?										
summary	Describe GARLIC (GWAS-based Prediction Toolkit for Connecting Diseases and Cell Types)										
summary	How does Dst1 knock-out affect transcription in yeast?										
summary	What is the function of yeast TERRA RNAs?										
summary	What is masitinib an inhibitor of?										
summary	What is the function of the H19 (ICR) locus in the human genome?										
summary	What is the mode of action of teriparatide?										
summary	What is the Strelka workflow?										
summary	Describe the Manta algorithm for detection of structural variants										
summary	Describe mechanism of action of Ozanimod.										
summary	Describe swirl sign in intracerebral hemorrhage.										
summary	What is Morgellons disease?										
summary	What is Cellbase?										
summary	What is the asosciation between the eustachian tube and the palatine muscle of the uvula?										
summary	What is the definition of General Regulatory Factors (GRFs)?										
summary	Why is the Fyn kinase considered a promising therapeutic target for Alzheimer's Disease?										
summary	What is the link between TADs and GRBs?										
summary	What is Target Explorer?										
summary	What does the human IVIG treatment for Alzheimer's disease contain?										
summary	What is the mechanism of the auxin-inducible degron system?										
summary	What does VBP15 do to skeletal muscle?										
summary	What is filgotinib?										
summary	What is Q-nexus?										
summary	What is the mechanism of action of Tisagenlecleucel?										
summary	What is LHON, also known as Lebers syndrome?										
summary	What is the ReliableGenome?										
summary	Which is the specificity of deubiquitinase USP25?										
summary	Can a circRNA be translated into protein?										
summary	What is the phenomenon of gene kissing?										
summary	Where do centromeres locate according to the Rabl orientation of eukaryotic nuclei?										
summary	What is the function of STAR elements in yeast telomeres?										
summary	How does parathyroid hormone affect circulating levels of periostin?										
summary	What is MINDY (motif interacting with Ub-containing novel DUB family)?										
summary	What is cebocephaly										
summary	How can network assortativity be applied in the three-dimensional analysis of the genome?										
summary	How is CTCF activated post-translationally?										
summary	What is the HPG pore?										
summary	What is miravirsen?										
summary	What is GenomeVIP?										
summary	What is BBCAnalyzer?										
summary	What is the purpose of the FaceBase consortium?										
summary	What is TCGA2BED?										
summary	Describe nursemaid's elbow injury.										
summary	What is trismus?										
summary	What is mechanism of action of Benralizumab?										
summary	Describe the Match BAM to VCF (MBV) method.										
summary	What is the mechanism of action of Fremanezumab?										
summary	Is trastuzumab associated cardiotoxicity reversible?										
summary	What is the role of nimotuzumab in treatment of pontine glioma?										
summary	Describe annotatr										
summary	What is Blount's disease?										
summary	Describe mechanism of action of Nusinersen.										
summary	Describe King–Kopetzky syndrome.										
summary	What is the 959 Nematode Genomes initiative?										
summary	What is CellMaps?										
summary	Describe SNP2TFBS										
summary	What is SMiLE-seq?										
summary	What is libgapmis?										
summary	Describe JACUSA										
summary	What is the mechanism of action of Tezepelumab?										
summary	What is the association between kidney donation risk of gestational complications?										
summary	Describe the RNA Centric Annotation System (RCAS)										
summary	What is Chronic Wasting Disease (CWD) in deer?										
summary	What does A1C measure?										
summary	What is craniosynostosis?										
summary	Describe Click-PEGylation										
summary	A SLEDAI score is associated with Systemic Lupus Erythematosus. What is a SLEDAI score?										
summary	What is the aim of the 4D nucleome project?										
summary	When is 16S rRNA Gene Sequencing used?										
summary	What is the association of circular RNA to breast cancer?										
summary	Describe RIblast										
summary	What is Alzheimers disease resilience?										
summary	Describe Achenbach’s syndrome.										
summary	What is host induced gene silencing?										
summary	What is maternal spindle transfer?										
summary	What is the role of tankyrases in response to Double Strand Breaks (DSBs)?										
summary	How do circRNAs relate to tumorigenesis?										
summary	What is the role of the blood-brain barrier?										
summary	What is PARP inhibitor (PARPi) resistance?										
summary	What are pQTLs?										
summary	What is Dysphoric Milk Ejection Reflex?										
summary	What is the "protein inference problem"?										
summary	What is the link between lithium use during pregnancy and Ebstein anomaly?										
summary	What does the Ribosome-bound Quality Control complex do?										
summary	Describe mechanism of action of Romosozumab.										
summary	Which proteins are regulated by Nrf2?										
summary	What is the purpose of the Tabix tool?										
summary	What is MULTOVL?										
summary	How is Hsd17b1 associated with endometriosis?										
summary	What is INCB3619?										
summary	What is crenezumab?										
summary	Describe Vanishing lung syndrome.										
summary	What is calciphylaxis										
summary	What is the alternative lengthening of telomeres?										
summary	Which organ express and secretes the hormone FGF21?										
summary	What is the biological role of Neddylation?										
summary	What is break induced replication?										
summary	What is a fibrocyte?										
summary	What is the aim of the PhenCode database?										
summary	What is the basis of the Sp3 procedure used in proteomics?										
summary	What is "enhancer hijacking"?										
summary	What disease is tinea ?										
summary	How are deletion breakpoints defined?										
summary	How is the nuclear localization of lncRNA mediated?										
summary	What is ATAC-seq?										
summary	What is the TALE-iD method used for?										
summary	What is Paget's Disease?										
summary	What is the function of penicillinase, also known as beta lactamase?										
summary	What is caused by the ectopic expression of CTCF?										
summary	What is the dardarin protein?										
summary	What is myelin?										
summary	What is Dupuytren's contracture?										
summary	What phenotype is associated with the V60L mutation in the human MC1R gene?										
summary	What is the aim of  perfoming a "cycloheximide chase assay"?										
summary	What is Mendelian randomization?										
summary	What is hemolacria?										
summary	What is the 3D genome browser?										
summary	Are gut proteobacteria associated with inflammatory disease?										
summary	Describe genomiser										
summary	What is TPMCalculator?										
summary	Describe clinical presentation of Escobar syndrome.										
summary	What is small-activating RNA?										
summary	What is the mechanism of action of Ivosidenib?										
summary	Which is the basis of the ATAC-Seq protocol?										
summary	What is vcfanno?										
summary	What is the association of Disease-Associated STRs (daSTRs) with domain boundaries?										
summary	What is the link between ultraconserved elements and three-dimensional mammalian genome organization?										
summary	What are the "Ohnologs"?										
summary	What is TissueEnrich?										
summary	Describe OligoSTORM										
summary	Describe the mechanism of action of ibalizumab.										
summary	Describe information obtained by immunophenotyping.										
summary	What is the mechanism of action of Emicizumab?										
summary	What is DiseaseEnhancer?										
summary	What is the function of GFRAL?										
summary	What is the role of ZCCHC17?										
summary	What is latex bead phagocytosis?										
summary	Describe CGmapTools										
summary	How is the Regulatory Trait Concordance (RTC) calculated?										
summary	What is filipin staining used for?										
summary	What is the function of the Nup153 protein?										
summary	How can PEGylation improve recombinant drugs?										
summary	Describe GeneCodeq										
summary	What is the mechanism of action of arimoclomol?										
summary	What is the purpose of the Ottawa Ankle Rule?										
summary	What is CIBERSORT used for?										
summary	What is PANDAS disease?										
summary	What is CPX351?										
summary	What is ivosidenib?										
summary	Describe symptoms of the Visual snow syndrome.										
summary	What is the role of the Leucosporidium ice-binding protein										
summary	What is the aim of the METABRIC project?										
summary	What is ferroptosis?										
summary	Briefly describe a deep learning system that is more accurate than human experts at detecting melanoma.										
summary	What is the mechanism of action of durvalumab?										
summary	What is GeneWeaver used for?										
summary	Endolymphatic hydrops is associated with Meniere’s disease. Please provide a summary of endoymphatic hydrops including the symptoms and affected body part.										
summary	What is the mechanism of action of Alpelisib?										
summary	What is eravacycline?										
summary	What is PEGylation?										
summary	Describe the 4D-CHAINS algorithm										
summary	What is an organoid?										
summary	What is known about the gut bacteria and depression.										
summary	What is the mechanism of action of anlotinib?										
summary	Describe Canvas SPW										
summary	What is the mechanism of action of cemiplimab?										
summary	What is CamurWeb?										
summary	Describe SLIC-CAGE										
summary	What is achalasia?										
summary	What is Burning Mouth Syndrome(BMS)?										
summary	What is the role of the Mcm2-Ctf4-Polα axis?										
summary	What is the contribution of ultraconserved elements in Australasian smurf-weevils?										
summary	How does botulism toxin act on the muscle?										
summary	Describe the mechanism of action of apalutamide.										
summary	What is Bayesian haplotyping used for?										
summary	Describe Herpetic Whitlow.										
summary	What is the mechanism of action of Pitolisant?										
summary	What is Chrysophanol?										
summary	What is CardioClassifier?										
summary	What is the role of metalloproteinase-17 (ADAM17) in NK cells?										
summary	What are the CADD scores?										
summary	What is a prolactinoma and where in the body would they be found?										
summary	What is the association of epigallocatechin with the cardiovascular system?										
summary	What is the mechanism of action of tucatinib?										
summary	Describe the mechanism of action of Lurbinectedin.										
summary	What is the mechanism of action of motolimod?										
summary	What is the function of PARP1?										
summary	What is COG112?										
summary	What is the function of Taraxasterol  in rheumatoid arthritis?										
summary	What is the role of CD28 with respect to bacterial superantigen toxins?										
summary	What is the mechanism of the drug CRT0066101?										
summary	What is PhenomeCentral?										
summary	How can super-enhancers be used in disease diagnosis?										
summary	Which proteins are markers of HPV oncogenic activity?										
summary	Describe the bartender algorithm										
summary	Describe CapSim										
summary	What is the mode of action of Tetrocarcin-A?										
summary	What are CRISPR-Cas12a proteins?										
summary	What is the mechanism of action of Solriamfetol?										
summary	What is the difference between the nuclease Cas13a and C2c2										
summary	What is the mechanism of action of cariprazine?										
summary	What is CVT-301?										
summary	What is patisiran?										
summary	What is the mechanism of action of Inclisiran?										
summary	What is opdivo?										
summary	What does Prevnar 13 consist of?										
summary	What are there sex differences in SAMHD1 activity?										
summary	Which enhancers are characterized as latent?										
summary	What is the difference between COG133 and COG112?										
summary	How are gas vesicle proteins used in imaging?										
summary	What are super-enhancers										
summary	What is the mode of action for Tocilizumab?										
summary	What is Quorum Sensing in bacteria?										
summary	What are the phenotypic features of the autosomal dominant, development disease, Noonans syndrome										
summary	What is the dbSUPER database?										
summary	What is YESCARTA?										
summary	What is known about the gene MIR140?										
summary	What is the mode of action of the Tc toxins?										
summary	What are acoustic reported genes used to detect?										
summary	What is a lipin 1 protein doing?										
summary	What is epitranscriptomics?										
summary	What is a SMR based BCI?										
summary	What conditions are associated with mutations in the gene FAAH?										
summary	What is aphasia?										
summary	What is the role of Acyl-Homoserine Lactone  in bacteria?										
